open;high;low;close;adj close
278870.00;278870.00;275700.00;275700.00;275700.00
276955.00;276955.00;276955.00;276955.00;276955.00
273075.00;273075.00;273075.00;273075.00;273075.00
277234.00;277234.00;277234.00;277234.00;277234.00
276435.00;276435.00;276435.00;276435.00;276435.00
273710.00;273710.00;273710.00;273710.00;273710.00
274950.00;274950.00;274950.00;274950.00;274950.00
272970.00;272970.00;272970.00;272970.00;272970.00
271225.00;271225.00;271225.00;271225.00;271225.00
270555.00;270555.00;270555.00;270555.00;270555.00
270730.00;270730.00;270730.00;270730.00;270730.00
271270.00;271270.00;271270.00;271270.00;271270.00
269230.00;269230.00;269230.00;269230.00;269230.00
270345.00;270345.00;270345.00;270345.00;270345.00
267710.00;267710.00;267710.00;267710.00;267710.00
265000.00;266285.00;265000.00;266285.00;266285.00
269760.00;269760.00;269760.00;269760.00;269760.00
270050.00;271525.00;270050.00;271525.00;271525.00
273050.00;273050.00;272300.00;272300.00;272300.00
273525.00;273525.00;272540.00;272540.00;272540.00
272540.00;272540.00;272540.00;272540.00;272540.00
275295.00;275295.00;275295.00;275295.00;275295.00
271590.00;271590.00;271590.00;271590.00;271590.00
273025.00;273025.00;273025.00;273025.00;273025.00
274475.00;274475.00;274475.00;274475.00;274475.00
271945.00;275820.00;271945.00;275820.00;275820.00
276840.00;276840.00;276840.00;276840.00;276840.00
275140.00;275140.00;275140.00;275140.00;275140.00
276265.00;276265.00;276265.00;276265.00;276265.00
272870.00;272870.00;272870.00;272870.00;272870.00
274060.00;274060.00;274060.00;274060.00;274060.00
276185.00;276185.00;276185.00;276185.00;276185.00
278220.00;278220.00;278220.00;278220.00;278220.00
278945.00;278945.00;278945.00;278945.00;278945.00
284605.00;284605.00;284605.00;284605.00;284605.00
284605.00;284605.00;284605.00;284605.00;284605.00
284915.00;284915.00;284915.00;284915.00;284915.00
288320.00;288320.00;288320.00;288320.00;288320.00
287750.00;287750.00;287750.00;287750.00;287750.00
288750.00;288750.00;288750.00;288750.00;288750.00
286750.00;286750.00;286750.00;286750.00;286750.00
287585.00;287585.00;287060.00;287060.00;287060.00
285220.00;285220.00;285220.00;285220.00;285220.00
283585.00;283890.00;283585.00;283890.00;283890.00
284890.00;284890.00;284890.00;284890.00;284890.00
286505.00;286505.00;286505.00;286505.00;286505.00
279275.00;279275.00;279275.00;279275.00;279275.00
278525.00;278525.00;278525.00;278525.00;278525.00
277600.00;277600.00;277600.00;277600.00;277600.00
274300.00;274300.00;274300.00;274300.00;274300.00
276105.00;276105.00;276105.00;276105.00;276105.00
277830.00;277995.00;277830.00;277995.00;277995.00
278925.00;278925.00;278925.00;278925.00;278925.00
281780.00;281780.00;281780.00;281780.00;281780.00
282720.00;282720.00;282720.00;282720.00;282720.00
280000.00;280000.00;280000.00;280000.00;280000.00
281405.00;281405.00;281405.00;281405.00;281405.00
280610.00;280610.00;280610.00;280610.00;280610.00
270870.00;270870.00;270870.00;270870.00;270870.00
277745.00;277745.00;269200.00;269200.00;269200.00
265045.00;267485.00;265045.00;267485.00;267485.00
264760.00;264760.00;264760.00;264760.00;264760.00
267085.00;267085.00;267085.00;267085.00;267085.00
269185.00;269185.00;266170.00;266170.00;266170.00
265775.00;265775.00;265775.00;265775.00;265775.00
267825.00;267825.00;267825.00;267825.00;267825.00
265665.00;265665.00;265665.00;265665.00;265665.00
267975.00;271175.00;267975.00;271175.00;271175.00
271515.00;271710.00;271515.00;271710.00;271710.00
271415.00;271415.00;270585.00;270585.00;270585.00
269520.00;269520.00;269520.00;269520.00;269520.00
269895.00;271875.00;269895.00;271875.00;271875.00
271875.00;271875.00;271875.00;271875.00;271875.00
269320.00;269320.00;269320.00;269320.00;269320.00
270075.00;270075.00;270075.00;270075.00;270075.00
271335.00;271335.00;271335.00;271335.00;271335.00
271335.00;271335.00;271335.00;271335.00;271335.00
277300.00;277300.00;277300.00;277300.00;277300.00
275770.00;276420.00;275770.00;276420.00;276420.00
275585.00;275585.00;275490.00;275490.00;275490.00
274870.00;274870.00;274870.00;274870.00;274870.00
277090.00;278345.00;277090.00;278345.00;278345.00
277925.00;277925.00;277925.00;277925.00;277925.00
278580.00;281430.00;278580.00;281430.00;281430.00
0;0;0;0;0
285750.00;285750.00;285750.00;285750.00;285750.00
286390.00;288565.00;286390.00;288565.00;288565.00
288905.00;288905.00;288905.00;288905.00;288905.00
288840.00;288840.00;288840.00;288840.00;288840.00
286900.00;286900.00;285180.00;285180.00;285180.00
284155.00;284155.00;284155.00;284155.00;284155.00
286825.00;286825.00;286825.00;286825.00;286825.00
284890.00;284890.00;284890.00;284890.00;284890.00
283905.00;283905.00;283905.00;283905.00;283905.00
284945.00;284945.00;283940.00;283940.00;283940.00
284260.00;284260.00;284260.00;284260.00;284260.00
284760.00;284760.00;283470.00;283470.00;283470.00
284240.00;284655.00;284240.00;284655.00;284655.00
284655.00;284655.00;284655.00;284655.00;284655.00
284655.00;284655.00;284655.00;284655.00;284655.00
